"txid","refid","time","type","aclass","asset","amount","fee","balance"
"L4ZE5R-DSRMB-72HVX6","TTZL5S-TTKF7-OPUY3B","2020-04-28 03:43:31","trade","currency","XXLM",-0.00096753,0.00000000,0.00000155
"LHKU2S-DHOAR-DDODQJ","TTZL5S-TTKF7-OPUY3B","2020-04-28 03:43:31","trade","currency","XXBT",0.0000000090,0.0000000000,0.0036008520
"L67SWG-GRJNK-UY2CFD","TART7W-IL7MJ-T7E26W","2020-04-28 03:43:31","trade","currency","XXLM",-0.00000155,0.00000000,0.00000000
"LPCSX2-Q3JB6-M6PJN3","TY2FFS-XOU34-IZKPZZ","2020-05-04 03:33:06","trade","currency","XXBT",-0.0034490300,0.0000089700,0.0001428520
"LKIRZ5-CGMHQ-GCJENN","TY2FFS-XOU34-IZKPZZ","2020-05-04 03:33:06","trade","currency","EOS",11.0122367900,0.0000000000,25.0042367900
"LFBB7U-XK6XO-BF67B6","TJGWXP-T5MKQ-UDWTAR","2020-05-04 03:35:50","trade","currency","XXBT",-0.0001426200,0.0000002300,0.0000000020
"LJA5RW-CHDDC-5HUIV5","TJGWXP-T5MKQ-UDWTAR","2020-05-04 03:35:50","trade","currency","EOS",0.4553639800,0.0000000000,25.4596007700
"LE5XGO-2TJEB-B2YW5C","TELKC6-XG2LN-VJCEA6","2020-05-04 03:39:55","trade","currency","EOS",-25.4596007700,0.0000000000,0.0000000000
"LTSRP2-SPRDQ-OTPDK5","TELKC6-XG2LN-VJCEA6","2020-05-04 03:39:55","trade","currency","XXBT",0.0079459400,0.0000206600,0.0079252820
"","AGBJ4YF-VV76SZ-VKQJ3L","2020-05-04 03:43:12","withdrawal","currency","XXBT",-0.0074200000,0.0005000000,""
"L4CYYR-WOPB4-UX6WSP","AGBJ4YF-VV76SZ-VKQJ3L","2020-05-04 04:11:48","withdrawal","currency","XXBT",-0.0074200000,0.0005000000,0.0000052820
